ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,entity_id,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
G,2015,2,schwarz,227 g/km,1,4,9.7 l/100km,3800,Neu,"""Ab MFK""",Red,Allrad,Automatisiertes Schaltgetriebe,100,560,Coupé,Benzin,Zuzwil,Porsche,911,911 Turbo S,911 Turbo S,PORSCHE 911 Turbo S,17da37f2-e970-4fbd-b515-57cf96ce3530,9.7,l/100km
null,1977,2,mehrfarbig,null,5,5,null,993,Occasion,"""Ab MFK""",Red,Hinterradantrieb,Schaltgetriebe manuell,78000,47,Limousine,Benzin,Zuzwil,Toyota,,1000 / Publica,1000 / Publica,TOYOTA 1000 / Publica,a5c7c6da-b65c-4e87-b3a1-03eb171a21fb,null,null
null,1997,4,null,null,9,5,13.2 l/100km,4172,Occasion,"""Ab MFK""",Red,Allrad,Automat sequentiell,33800,300,Limousine,Benzin,Zuzwil,Audi,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,63a6a292-ea10-459a-a53b-bea9ef17f4fe,13.2,l/100km
G,2002,2,mehrfarbig,305 g/km,4,4,12.7 l/100km,3996,Occasion,"""Ab MFK""",Red,Hinterradantrieb,Automat,77600,363,Cabriolet,Benzin,Zuzwil,Jaguar,XK,XKR S/C Convertible,XKR S/C Convertible,JAGUAR XKR S/C Convertible,f87671f9-abbb-493c-8047-017eac137883,12.7,l/100km
null,1998,5,schwarz,null,4,5,10.4 l/100km,2771,Occasion,"""Ab MFK""",Red,Allrad,Automatik-Getriebe,196300,193,Kombi,Benzin,Zuzwil,Audi,A4,A4 Avant 2.8 q.Ambition,A4 Avant 2.8 q.Ambition,AUDI A4 Avant 2.8 q.Ambition,f6a00ba4-8b63-4372-b39b-a284a18cdfd3,10.4,l/100km
null,1996,4,schwarz,null,11,5,13.5 l/100km,4973,Occasion,"""Ab MFK""",Red,Hinterradantrieb,Automat,33700,347,Limousine,Benzin,Zuzwil,Mercedes-Benz,E 50 AMG,E 50 AMG Avantgarde,E 50 AMG Avantgarde,MERCEDES-BENZ E 50 AMG Avantgarde,07340e8a-2cd7-411e-9317-c366ef5b6605,13.5,l/100km
G,2004,5,schwarz,324 g/km,8,5,13.5 l/100km,4799,Occasion,"""Ab MFK""",Red,Allrad,Automat sequentiell,61900,360,SUV / Geländewagen,Benzin,Zuzwil,BMW,X5,X5 4.8is,X5 4.8is,BMW X5 4.8is,0213ec78-be11-44b9-8060-d102403d51f0,13.5,l/100km
G,2002,5,grau,350 g/km,9,5,14.6 l/100km,4172,Occasion,"""Ab MFK""",Red,Allrad,Automat sequentiell,71900,450,Kombi,Benzin,Zuzwil,Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,AUDI RS6 Avant quattro,c9266d22-31e2-4639-9fbe-8b26f8721dcf,14.6,l/100km
G,2008,2,braun,225 g/km,10,4,9.4 l/100km,2979,Occasion,"""Ab MFK""",Black,Hinterradantrieb,Automat sequentiell,25700,306,Cabriolet,Benzin,Zuzwil,BMW,135,135i,135i,BMW 135i,082a8951-5e9a-46d6-b486-8999824c4cfc,9.4,l/100km
G,2000,2,grau,495 g/km,3,4,22.0 l/100km,5474,Occasion,"""Ab MFK""",Blue,Hinterradantrieb,Schaltgetriebe manuell,46500,442,Coupé,Benzin,Zuzwil,Ferrari,456,456M GT,456M GT,FERRARI 456M GT,0e8efa18-83c9-4cce-9c68-d17d4625fd1c,22.0,l/100km
