ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,entity_id
null,1998,4,beige,241 g/km,4,5,10.1 l/100km,2793,Occasion,"""Ab MFK""",braun mét.,Hinterradantrieb,Automat,33700,193,Limousine,Benzin,Zuzwil,BMW,328,328i,328i,BMW 328i,3fb71b4a-bbf0-4958-8b2c-1aed6540ca28
G,2006,4,beige,423 g/km,3,5,17.7 l/100km,5998,Occasion,"""Ab MFK"", ""Direkt-/Parallelimport""",gelb,Allrad,Automat,35000,560,Limousine,Benzin,Zuzwil,BENTLEY,CONTINENTAL,Continental FlyingSpur6.0,Continental FlyingSpur6.0,BENTLEY Continental FlyingSpur6.0,54d68368-d839-4b2b-9720-e4284eeb9349
G,2006,2,bordeaux,null,6,2,7.7 l/100km,1796,Occasion,"""Ab MFK"", ""Direkt-/Parallelimport""",gelb,Hinterradantrieb,Schaltgetriebe manuell,7100,126,Cabriolet,Benzin,Zuzwil,MORGAN,4/4,4/4 1.8,4/4 1.8,MORGAN 4/4 1.8,a838d9bb-b973-4446-8c95-603ff4835d60
null,1987,2,schwarz,null,6,4,null,6747,Occasion,"""Ab MFK""",gelb,Hinterradantrieb,Automatik-Getriebe,19720,0,Cabriolet,Benzin,Zuzwil,ROLLS-ROYCE,CORNICHE,CORNICHE Cabrio,Cabrio,ROLLS-ROYCE CORNICHE Cabrio,1f2d3b7d-6282-486f-89c1-167a916e5b48
null,1998,2,schwarz,null,3,2,20.8 l/100km,3496,Occasion,"""Ab MFK""",gelb,Hinterradantrieb,Automatik-Getriebe,28100,380,Coupé,Benzin,Zuzwil,FERRARI,F355,F355 Berlinetta,F355 Berlinetta,FERRARI F355 Berlinetta,0572e776-098d-480b-adbd-4d60b636360f
G,2005,4,beige,357 g/km,4,5,14.8 l/100km,4999,Occasion,null,gelb,Hinterradantrieb,Automatisiertes Schaltgetriebe,3000,503,Limousine,Benzin,Zuzwil,BMW,M5,M5,M5,BMW M5,79657d6d-8849-4156-8fe1-6567b0a9adb4
G,2003,5,grau,236 g/km,10,5,9.0 l/100km,1998,Occasion,"""Ab MFK""",gelb,Vorderradantrieb,Schaltgetriebe manuell,103000,121,Kompaktvan / Minivan,Benzin,Zuzwil,DAEWOO,TACUMA,Tacuma 2000i CDX,Tacuma 2000i CDX,DAEWOO Tacuma 2000i CDX,57036b31-1cec-4461-a1fc-2b46a0843164
null,1971,2,schwarz,null,1,2,null,1565,Occasion,"""Rennwagen""",anthrazit mét.,Hinterradantrieb,Schaltgetriebe,19200,170,Coupé,null,Zuzwil,RENAULT,Alpine A110,Alpine A110 1600S Gruppe 5 look,1600S Gruppe 5 look,RENAULT Alpine A110 1600S Gruppe 5 look,5fd15857-f17e-4535-a961-0aaa70f7bd21
G,2011,2,schwarz,270 g/km,4,2,11.5 l/100km,3800,Occasion,"""Ab MFK""",gelb,Allrad,Automatisiertes Schaltgetriebe,28000,530,Cabriolet,Benzin,Zuzwil,PORSCHE,911,911 Turbo S Cabrio PDK,911 Turbo S Cabrio PDK,PORSCHE 911 Turbo S Cabrio PDK,506b6334-059e-4910-be25-9f9c92245d3f
null,1971,2,schwarz,null,11,2,null,2687,Occasion,"""Ab MFK""",gelb,Hinterradantrieb,Schaltgetriebe manuell,96000,150,Cabriolet,Benzin,Zuzwil,PORSCHE,911,911 Targa,Targa,PORSCHE 911 Targa,cb13b9f7-4f3c-48af-b70d-1e71533cd8d3
