color,make,model,model_variant,city
Yellow,Porsche,911,911 Turbo S Cabrio PDK,Zuzwil
Yellow,Porsche,911,911 Targa,Zuzwil
Yellow,Maserati,3200 GT,3200 GT,Zuzwil
Yellow,Mercedes-Benz,S 400,S 400 CDI,Zuzwil
Yellow,Ferrari,456,456M GT,Zuzwil
Yellow,Audi,S6,S6 quattro,Zuzwil
Yellow,Mercedes-Benz,190,190 E 2.5-16 Evo II ABS,Zuzwil
Yellow,Mazda,626,626 2.0i-16V HPV,Zuzwil
Yellow,Toyota,CAMRY,CAMRY 2000 GLi Super Liftback,Safenwil
Yellow,Porsche,CAYENNE,Cayenne Turbo S,Zuzwil
Other,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Yellow,Chrysler,VIPER,Viper RT/10,Zuzwil
Yellow,Mercedes-Benz,S 320,S 320,Zuzwil
Yellow,Toyota,MR2,MR2 2.0,Zuzwil
Yellow,Ferrari,TESTAR./512,Testarossa,Zuzwil
Gold,Chevrolet,CORVETTE,Corvette ZR1,Zuzwil
Gold,BMW,M3,M3,Zuzwil
Gold,RUF,,CTR,Zuzwil
Gold,Renault,R5,R5 Turbo 2,Zuzwil
Gold,Daimler,XJ,Six 4.0,Zuzwil
Gray,Mazda,RX-7,RX-7 2.6 Turbo II,Zuzwil
Other,Bugatti,,Veyron 16.4,Sursee
Gray,Porsche,911,911 Turbo,Zuzwil
Gray,Porsche,911,911 Carrera Cabrio,Zuzwil
Gray,Mercedes-Benz,S 500,S 500 L 4Matic,Zuzwil
Gray,Bugatti,EB,EB 110 GT/SS,Zuzwil
Gray,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Gray,Ferrari,575M,575M,Zuzwil
Gray,Audi,RS6,RS6 Avant quattro,Zuzwil
Gray,Jaguar,S-TYPE,S-Type 4.2 V8 S/C R,Zuzwil
Gray,Maserati,SPYDER GT,Spyder GT,Zuzwil
Gray,Porsche,911,911 Carrera Targa,Zuzwil
Other,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Gray,Ferrari,F355,F355 GTS,Zuzwil
Gray,Maserati,QUATTROPORTE,Quattroporte 4.2,Zuzwil
Gray,Mercedes-Benz,E 320,E 320 Elégance 4-Matic,Zuzwil
Gray,Jaguar,XK,XK8 Convertible,Zuzwil
Gray,Chevrolet,CORVETTE,CORVETTE,Zuzwil
Gray,Maserati,SPYDER GT,Spyder GT,Zuzwil
Gray,Ferrari,F360,F360 Spider,Zuzwil
Gray,Renault,R5,R5 1400 Alpine Turbo,Zuzwil
Gray,Ferrari,575M,575M,Zuzwil
Gray,Lancia,DELTA,Delta HF Integrale Evo,Zuzwil
Other,Mercedes-Benz,SL 600,SL 600,Zuzwil
Gray,Bentley,ARNAGE,Arnage R,Zuzwil
Gray,Mercedes-Benz,CL 500,CL 500,Zuzwil
Gray,Mercedes-Benz,E 55 AMG,E 55 AMG Avantgarde,Zuzwil
Gray,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Gray,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Gray,Mercedes-Benz,SL 600,SL 600,Zuzwil
Gray,Audi,RS6,RS6 Avant 5.0 V10 quattro MTM,Zuzwil
Gray,Austin-Healey,,100/Six BN6 Roadster,Safenwil
Gray,RUF,,CTR 2 Sport,Zuzwil
Gray,Porsche,911,911 Turbo,Zuzwil
Other,Bentley,TURBO,Turbo R,Zuzwil
Gray,Porsche,911,911 Carrera S Cabrio,Zuzwil
Gray,BMW,535,535i Touring,Zuzwil
Gray,Porsche,911,911 Turbo,Zuzwil
Gray,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Gray,Toyota,CELICA,Celica 2800 i Supra,Zuzwil
Gray,Porsche,911,911 Turbo,Zuzwil
Gray,Renault,Alpine A110,Alpine A110 1600 SX,Zuzwil
Gray,Mercedes-Benz,SL 350,SL 350,Zuzwil
Gray,Land Rover,RANGE ROVER,Range Rover 4.6 HSE,Zuzwil
Gray,Porsche,PANAMERA,Panamera Turbo 4.8,Zuzwil
Other,Porsche,911,911 Carrera,Zuzwil
Gray,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Gray,BMW,540,540i Touring,Zuzwil
Gray,Maserati,SPYDER GT,Spyder GT,Zuzwil
Gray,Maserati,COUPÉ GT,Coupé GT,Zuzwil
Gray,Lamborghini,HURACAN,Huracan LP610-4 Coupé,Zuzwil
Gray,Aston Martin,Virage,Virage,Zuzwil
Gray,Fiat,PUNTO,Punto 1.8 16V HGT,Zuzwil
Gray,Audi,RS6,RS6 Avant quattro,Zuzwil
Gray,Audi,RS6,RS6 Avant quattro,Zuzwil
Gray,BMW,X5,X5 4.4i,Zuzwil
Other,Giottiline,,Therry T22,Zuzwil
Gray,Ferrari,612,612,Zuzwil
Gray,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Gray,Porsche,911,911 Turbo,Zuzwil
Gray,Mercedes-Benz,S 55 AMG,S 55 AMG,Zuzwil
Gray,Audi,R8,R8 Coupé 4.2,Zuzwil
Gray,Mercedes-Benz,CLK 63 AMG,CLK 63 AMG Black Series,Zuzwil
Gray,Bentley,CONTINENTAL,Continental GTC 6.0,Zuzwil
Gray,Audi,RS6,RS6 Avant quattro,Zuzwil
Gray,Ferrari,F550,F550 Maranello,Zuzwil
Gray,Aston Martin,DBS,DBS Coupé,Zuzwil
Other,Audi,RS6,RS6 Avant quattro,Zuzwil
Other,Mercedes-Benz,SL 500,SL 500,Zuzwil
Gray,Mercedes-Benz,S 500,S 500,Zuzwil
Gray,Mercedes-Benz,E 500,E 500 Limited,Zuzwil
Gray,Mercedes-Benz,CL 65 AMG,CL 65 AMG,Zuzwil
Gray,Mercedes-Benz,SL 500,SL 500 Special Edition,Zuzwil
Gray,Lamborghini,GALLARDO,Gallardo LP560-4 Coupé,Zuzwil
Gray,Porsche,BOXSTER,Boxster S 3.4,Zuzwil
Gray,VW,PHAETON,Phaeton 4.2 V8 4Motion,Zuzwil
Gray,Ferrari,612,612,Zuzwil
Gray,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Gray,Porsche,911,911 Carrera,Zuzwil
Other,Porsche,911,911 Turbo,Zuzwil
Gray,Renault,,R8 Gordini,Zuzwil
Gray,Mercedes-Benz,S 500,S 500 L,Zuzwil
Gray,BMW,323,323i Sport Edition,Zuzwil
Gray,Mercedes-Benz,CL 500,CL 500 4Matic,Zuzwil
Gray,VW,BEETLE,BEETLE New Beetle Cup,Zuzwil
Gray,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Gray,Mercedes-Benz,S 500,S 500 L,Zuzwil
Gray,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
Gray,Audi,RS6,RS6 Avant quattro,Zuzwil
Gray,MG,MGC,C GT,Zuzwil
Other,Audi,A8,A8 4.2 quattro,Zuzwil
Gray,Porsche,924,924,Zuzwil
Gray,Ford,,T - Roadster,Zuzwil
Gray,Mercedes-Benz,CLK 430,CLK 430 Elégance,Zuzwil
Gray,VW,GOLF,Golf 2.0 TSI R 4Motion,Zuzwil
Gray,Porsche,911,911 Carrera RS Clubsport/993 GT2,Zuzwil
Gray,Land Rover,DEFENDER,Defender 90 2.4Td4 SW,Zuzwil
Gray,Mercedes-Benz,S 65 AMG,S 65 AMG L,Zuzwil
Gray,Mercedes-Benz,ML 63 AMG,ML 63 AMG 4Matic,Zuzwil
Gray,Audi,S6,S6 quattro 4.2,Zuzwil
Gray,Ferrari,F360,F360 Modena Berlinetta,Zuzwil
Other,Mercedes-Benz,SLR,SLR 730PS,Zuzwil
Gray,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
Gray,Porsche,911,911 Carrera Targa,Zuzwil
Gray,Renault,Alpine A110,Alpine A110 1600S VC,Zuzwil
Gray,Mercedes-Benz,SL 600,SL 600,Zuzwil
Gray,Porsche,911,911 Turbo,Zuzwil
Gray,Mercedes-Benz,S-CLASS,S 55 L AMG,Zuzwil
Gray,BMW,M3,M3,Zuzwil
Gray,BMW,740,740i,Zuzwil
Gray,Lamborghini,GALLARDO,Gallardo LP560-4 Spyder,Zuzwil
Gray,Dodge,VIPER,VIPER,Zuzwil
Other,Mercedes-Benz,S 65 AMG,S 65 AMG L,Zuzwil
Gray,Mercedes-Benz,E 500,E 500 Avantgarde,Zuzwil
Gray,Audi,A8,A8 4.2 quattro,Zuzwil
Gray,Porsche,BOXSTER,Boxster S 3.2,Zuzwil
Gray,Mercedes-Benz,SL 500,SL 500,Zuzwil
Gray,Ferrari,456,456 GTA,Zuzwil
Gray,Ford,CORTINA,CORTINA Cortina Lotus,Zuzwil
Gray,Mercedes-Benz,SLK 200,SLK 200,Zuzwil
Gray,Mercedes-Benz,ML 63 AMG,ML 63 AMG 4Matic,Zuzwil
Gray,Mercedes-Benz,S 65 AMG,S 65 AMG L,Zuzwil
Gray,BMW,323,323 323i,Zuzwil
Other,Mercedes-Benz,CLS 500,CLS 500,Zuzwil
Gray,Land Rover,RANGE ROVER,Range Rover 4.6 HSE,Zuzwil
Gray,Porsche,911,911 Carrera 4,Zuzwil
Gray,Audi,RS6,RS6 Avant quattro,Zuzwil
Gray,Aston Martin,V12 Vanquish,Vanquish V12,Zuzwil
Gray,Mercedes-Benz,CL 500,CL 500,Zuzwil
Gray,BMW,530 Gran Turismo,530d GT,Zuzwil
Gray,Porsche,911,911 GT2,Zuzwil
